"","brand","model","processor_brand","processor_name","processor_gnrtn","processor_gnrtn_isBAD","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","display_size_isBAD","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews","latest_price_cat"
"1","Lenovo","A6-9225","AMD","A6-9225 Processor",10,0,4,"DDR4",0,1024,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,0,"No","No",403.064516129032,32790,23,3.7,63,12,"low"
"2","Lenovo","Ideapad","AMD","APU Dual",10,0,4,"DDR4",0,512,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"No","No",315.967741935484,21325,8,3.6,1894,256,"low"
"3","Avita","PURA","AMD","APU Dual",10,0,4,"DDR4",128,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,0,"No","No",322.41935483871,27990,28,3.7,1153,159,"low"
"4","Avita","PURA","AMD","APU Dual",10,0,4,"DDR4",128,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,0,"No","No",346.612903225806,27990,23,3.7,1153,159,"low"
"5","Avita","PURA","AMD","APU Dual",10,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.1220212765957,1,0,"No","No",403.064516129032,33490,25,3.7,1657,234,"low"
"6","Avita","PURA","AMD","APU Dual",10,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",403.064516129032,33490,25,3.7,1657,234,"low"
"7","HP","APU","AMD","APU Dual",10,0,4,"DDR4",0,1024,"Windows","32-bit",0,"Casual",14,0,0,"No","No",337.096774193548,22825,8,3.9,1185,141,"low"
"8","Lenovo","APU","AMD","APU Dual",10,0,4,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"No","No",353.161290322581,0,0,3.9,219,18,"low"
"10","acer","Aspire","AMD","Athlon Dual",10,0,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,1,"No","No",515.967741935484,36990,13,4.2,76,13,"low"
"11","ASUS","ExpertBook","Intel","Core i3",10,0,4,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.6,0,0,"No","No",558.854838709677,41990,17,2.3,3,0,"low"
"12","Lenovo","_invalid_","Intel","Core i3",10,0,4,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"No","No",629.016129032258,42705,8,3.8,65,5,"low"
"13","Lenovo","v15","Intel","Core i3",10,0,4,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.6,0,0,"No","No",645.145161290323,43999,9,3.1,8,1,"low"
"17","ASUS","EeeBook","Intel","Celeron Dual",10.3318112633181,1,4,"DDR4",0,512,"Windows","32-bit",0,"Casual",15.1220212765957,1,0,"No","No",354.677419354839,25990,15,3.5,31,3,"low"
"20","acer","Aspire","AMD","Ryzen",10,0,4,"DDR4",0,512,"Windows","32-bit",4,"Casual",15.1220212765957,1,0,"No","No",886.935483870968,89000,38,4.5,3190,414,"mid"
"21","acer","Nitro","AMD","Ryzen 5",10,0,4,"DDR4",0,512,"Windows","32-bit",4,"Casual",15.1220212765957,1,0,"No","No",967.58064516129,99999,40,4.5,1946,240,"mid"
"22","acer","Nitro","AMD","Ryzen 5",10,0,4,"DDR4",0,512,"Windows","32-bit",6,"Casual",15.1220212765957,1,0,"No","No",1511.29032258065,139000,32,4.5,259,47,"high"
"23","acer","Nitro","AMD","Ryzen 5",10,0,4,"DDR4",0,512,"Windows","32-bit",4,"Casual",15.1220212765957,1,0,"No","No",1177.25806451613,99999,27,4.5,425,67,"mid"
"24","Avita","Cosmos","Intel","Celeron Dual",10.3318112633181,1,4,"DDR4",0,512,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"No","No",282.096774193548,23490,25,3.6,1120,196,"low"
"29","Lenovo","IdeaPad","Intel","Celeron Dual",10.3318112633181,1,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",516.112903225806,38999,17,4,286,19,"low"
"30","HP","Celeron","Intel","Celeron Dual",10.3318112633181,1,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",524.032258064516,39288,17,4,58,6,"low"
"32","ASUS","VivoBook","Intel","Celeron Dual",10.3318112633181,1,4,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.1220212765957,1,0,"No","No",482.096774193548,33990,12,4,7,0,"low"
"33","ASUS","Celeron","Intel","Celeron Dual",10.3318112633181,1,4,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.6,0,1,"No","No",386.935483870968,26990,11,3.8,15279,1947,"low"
"34","HP","15q","Intel","Core i3",7,0,4,"DDR4",0,1024,"Windows","64-bit",0,"Casual",15.6,0,0,"No","No",531.532258064516,0,0,4.2,311,27,"low"
"35","HP","250-G6","Intel","Core i5",7,0,4,"DDR4",0,1024,"Windows","32-bit",2,"Casual",15.6,0,0,"No","No",745.161290322581,0,0,4.2,47,7,"mid"
"36","ASUS","_invalid_","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",555.306451612903,49990,31,4.1,37,6,"low"
"37","Lenovo","IdeaPad","Intel","Core i3",10,0,8,"DDR4",256,0,"Windows","32-bit",0,"ThinNlight",15.6,0,2,"No","Yes",612.741935483871,57990,34,4.3,2080,235,"low"
"38","ASUS","VivoBook","Intel","Core i3",11,0,4,"DDR4",256,0,"Windows","32-bit",0,"Casual",15.6,0,1,"No","Yes",580.483870967742,49990,28,4.3,1479,181,"low"
"39","ASUS","VivoBook","Intel","Core i3",10,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",548.064516129032,46990,27,4.4,67,3,"low"
"40","HP","_invalid_","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","Yes",645,50085,20,4.2,273,30,"low"
"41","DELL","Vostro","Intel","Core i3",10,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","Yes",636.935483870968,43312,8,4.3,1267,171,"low"
"42","RedmiBook","15","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","32-bit",0,"ThinNlight",15.6,0,1,"No","No",628.870967741935,51999,25,4.3,1063,152,"low"
"43","HP","Pavilion","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"Casual",14,0,1,"Yes","Yes",870.806451612903,63510,14,4.6,14,0,"mid"
"45","realme","Book","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","Yes",757.903225806452,54999,14,4.4,6352,1014,"mid"
"46","ASUS","_invalid_","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","No",612.741935483871,52990,28,4.3,284,39,"low"
"47","ASUS","VivoBook","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"Casual",14,0,1,"No","Yes",611.129032258065,51990,27,4.6,44,5,"low"
"48","Lenovo","IdeaPad","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,1,"No","No",628.870967741935,60890,35,4.2,33,4,"low"
"49","Lenovo","IdeaPad","Intel","Core i3",10,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14,0,0,"No","No",612.741935483871,57990,34,4.2,286,36,"low"
"50","DELL","Vostro","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",14.96,0,1,"No","Yes",677.258064516129,54510,22,3.6,10,5,"low"
"51","ASUS","VivoBook","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"Casual",15.6,0,1,"No","No",741.774193548387,58990,22,4.5,816,147,"mid"
"52","Lenovo","IdeaPad","Intel","Core i3",11,0,8,"DDR4",256,0,"Windows","64-bit",0,"ThinNlight",15.6,0,1,"No","No",645,61590,35,4.3,543,65,"low"
